review_order,review_batch,source_case_id,mandatory_reasons,has_rc,tiny_count,small_count,large_count,min_tumour_ssim,mean_support_ssim,artifact_flags,montage_path,manual_decision,risk_accepted,risk_code,manual_observation
1,1,BraTS-MET-01191-003,artifact;large;rc;smoke_risk;tiled,True,0,0,1,0.6168152706569501,0.06634534118500955,extreme_zscore_signal;large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01191-003.png,,,,
2,1,BraTS-MET-01268-002,artifact;large;rc;smoke_risk;tiled,True,0,0,1,0.6746583370981696,0.04881026011610834,large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01268-002.png,,,,
3,1,BraTS-MET-01287-002,artifact;large;rc;tiled;tiny,True,1,1,1,0.7671103564019501,0.4012382312836423,large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01287-002.png,,,,
4,1,BraTS-MET-01172-004,artifact;large;rc;tiled;tiny,True,2,1,2,0.9663691803610674,0.8595505661086084,large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01172-004.png,,,,
5,1,BraTS-MET-01134-003,artifact;low_score;rc;smoke_risk,True,0,1,0,0.006172399344255349,0.13762812690119963,high_frequency_shift,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01134-003.png,,,,
6,1,BraTS-MET-01250-001,low_score;rc;smoke_risk;tiny,True,1,0,0,0.03846800849506898,0.15639537124925415,,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01250-001.png,,,,
7,1,BraTS-MET-01191-001,artifact;large;rc;tiled,True,0,0,1,0.4884222837377866,0.08415434164111486,extreme_zscore_signal;large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01191-001.png,,,,
8,1,BraTS-MET-01287-001,artifact;large;rc;tiled,True,0,0,1,0.6196544058151087,0.06837743048527142,extreme_zscore_signal;large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01287-001.png,,,,
9,1,BraTS-MET-01191-002,artifact;large;rc;tiled,True,0,0,1,0.6361691397014129,0.0586585445352898,extreme_zscore_signal;large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-01191-002.png,,,,
10,1,BraTS-MET-00260-000,artifact;large;tiled;tiny,False,3,0,1,0.6584111347260877,0.04849928273065668,extreme_zscore_signal;large_tiled_support,/Users/hwaigc/比赛+课题/ECNU_EYU_data/work_space/G2/results/qc/diffusion_checkpoint_full94_150000_a800_recovery_20260721/automatic_qc/montages/BraTS-MET-00260-000.png,,,,
