case_id,split_source,case_dir,t1n_path,has_t1n,shape_t1n,spacing_t1n,affine_hash_t1n,t1c_path,has_t1c,shape_t1c,spacing_t1c,affine_hash_t1c,t2w_path,has_t2w,shape_t2w,spacing_t2w,affine_hash_t2w,t2f_path,has_t2f,shape_t2f,spacing_t2f,affine_hash_t2f,raw_seg_path,has_seg,shape_seg,spacing_seg,affine_hash_seg,image_dtypes,label_dtype,labels_present,has_nan_or_inf,image_nan_inf_check,basic_qc_pass,basic_qc_reason,effective_seg_path,label_source,has_corrected_label,has_illegal_label_after_overlay,illegal_label_values_after_overlay,final_qc_pass,final_qc_reason,labels_present_after_overlay
BraTS-MET-00001-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-t1n.nii.gz,True,240x240x155,"1,1,1",eb9eea110178ca87,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-t1c.nii.gz,True,240x240x155,"1,1,1",eb9eea110178ca87,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-t2w.nii.gz,True,240x240x155,"1,1,1",eb9eea110178ca87,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-t2f.nii.gz,True,240x240x155,"1,1,1",eb9eea110178ca87,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-seg.nii.gz,True,240x240x155,"1,1,1",eb9eea110178ca87,float32,float64,0;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00001-000/BraTS-MET-00001-000-seg.nii.gz,raw,False,False,,True,pass,0;2;3
BraTS-MET-00002-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00002-000/BraTS-MET-00002-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00003-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00003-000/BraTS-MET-00003-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00004-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,uint16,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00004-000/BraTS-MET-00004-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00005-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,uint16,0;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00005-000/BraTS-MET-00005-000-seg.nii.gz,raw,False,False,,True,pass,0;2;3
BraTS-MET-00006-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,uint16,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00006-000/BraTS-MET-00006-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00007-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00007-000/BraTS-MET-00007-000-seg.nii.gz,raw,False,False,,True,pass,0;2;3
BraTS-MET-00008-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00008-000/BraTS-MET-00008-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00009-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00009-000/BraTS-MET-00009-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
BraTS-MET-00010-000,train_top_level,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-t1n.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-t1c.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-t2w.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-t2f.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-seg.nii.gz,True,240x240x155,"1,1,1",9b10c69ea4f4bb15,float32,float32,0;1;2;3,False,deferred_full_volume_io_36GB,True,pass,/Users/hwaigc/比赛+课题/ECNU-NYU2026/2026的task1以及数据/MICCAI-LH-BraTS2025-MET-Challenge-Training/BraTS-MET-00010-000/BraTS-MET-00010-000-seg.nii.gz,raw,False,False,,True,pass,0;1;2;3
