synthetic_raw_id,approved_for_training,approved_for_evaluation,reviewer,reason,cleared_review_reasons
BraTS-MET-00554-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00555-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00556-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00558-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,z_discontinuity
BraTS-MET-00559-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00559-001,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00559-003,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00559-004,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00560-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00561-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00561-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00561-002,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00562-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00563-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00564-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00565-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00566-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00567-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00568-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00568-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00569-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00569-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00570-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00571-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00573-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00574-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00575-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00576-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00577-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00577-002,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00578-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00579-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00580-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00580-002,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00582-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00584-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00585-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00586-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00587-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00588-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00589-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00591-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00591-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00593-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00593-001,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00594-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00594-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00595-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00595-002,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00595-003,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00596-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00596-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00597-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00598-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00598-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00599-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00599-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00599-002,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00599-003,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00600-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00601-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00601-001,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00601-002,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_visual_review_pass+operator_override_acknowledged+downstream_ablation_required,tiny_ratio_high
BraTS-MET-00602-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00602-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00603-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00604-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00605-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00606-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00607-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00608-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00609-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00610-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00611-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00612-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00614-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00615-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00616-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00617-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00619-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00621-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00622-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00623-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00624-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00626-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00626-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00627-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00629-000,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00629-001,false,true,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00630-000,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
BraTS-MET-00630-001,true,false,G2_technical_visual_review_2026-07-18,technical_qc_pass+risk_stratified_batch_review+operator_override_acknowledged+downstream_ablation_required,""
