synthetic_raw_id,synthetic_final_id,source_case_id,generation_run_id,generator_name,generator_checkpoint,modality,label_kind,label_channels,rc_policy,noise_type,sampling_method,sampling_steps,eta,crop_size,seed,roi_bbox_available,roi_x_min,roi_x_max,roi_y_min,roi_y_max,roi_z_min,roi_z_max,roi_volume_voxels,lesion_voxels_in_roi,lesion_inside_roi_ratio,nonroi_change_ratio,protected_source_change_ratio,source_seg_change_ratio,brain_mask_overlap_ratio,roi_boundary_mae,roi_boundary_gradient_jump,roi_boundary_p95_jump,z_continuity_score,z_area_smoothness,z_intensity_smoothness,intensity_drift_p1,intensity_drift_p50,intensity_drift_p99,artifact_block_score,et_t1c_contrast_ratio,snfh_t2f_contrast_ratio,snfh_t2w_contrast_ratio,cross_modality_roi_corr,label_modality_alignment_score,source_synth_roi_ssim,label_source_seg_dice,teacher_model,teacher_lesion_count_diff,manual_visual_score,quality_grade,diffusion_quality_decision,diffusion_quality_reason
BraTS-MET-00554-000,BraTS-MET-00554-000,BraTS-MET-00554-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,145,169,156,177,51,67,8064,26728,1.0,,0.0,0.0,1.0,,,,0.906740128993988,0.8573099374771118,0.9561703205108643,,,,,2.040588140487671,0.8657841682434082,0.8812317252159119,-0.15595986675675402,1.2625346779823303,,0.2914855535668627,not_run,,,A,accepted_for_training,
BraTS-MET-00555-000,BraTS-MET-00555-000,BraTS-MET-00555-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,175,276,122,179,26,61,201495,28030,1.0,,0.0,0.0,1.0,,,,0.676641196012497,0.4101504683494568,0.9431319236755371,,,,,1.3414064645767212,1.3171947002410889,1.1388916969299316,0.16940037032647728,1.2658309539159138,,0.1062730128703172,not_run,,,A,accepted_for_training,
BraTS-MET-00556-000,BraTS-MET-00556-000,BraTS-MET-00556-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,52,202,55,142,35,75,522000,28094,1.0,,0.0,0.0,1.0,,,,0.8919868767261505,0.8287169337272644,0.9552568197250366,,,,,1.9250706434249878,1.1460932493209839,1.0827373266220093,-0.14486255249578842,1.384633739789327,,0.5797123429640302,not_run,,,A,accepted_for_training,
BraTS-MET-00558-000,BraTS-MET-00558-000,BraTS-MET-00558-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,140,146,207,214,34,37,126,56,1.0,,0.0,0.0,1.0,,,,0.43512487411499023,0.16964280605316162,0.7006069421768188,,,,,1.582714319229126,,,0.14733059739324345,1.582714319229126,,1.0,not_run,,,A,accepted_for_evaluation,
BraTS-MET-00559-000,BraTS-MET-00559-000,BraTS-MET-00559-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,102,158,55,169,22,105,529872,1543,1.0,,0.0,0.0,1.0,,,,0.7955558896064758,0.6559378504753113,0.9351739287376404,,,,,1.3282774686813354,1.042267084121704,0.989389955997467,0.013344305836649353,1.119978169600169,,0.737315875613748,not_run,,,A,accepted_for_evaluation,
BraTS-MET-00559-001,BraTS-MET-00559-001,BraTS-MET-00559-001,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,89,168,71,174,18,97,642823,240,1.0,,0.0,0.0,1.0,,,,0.7197493314743042,0.6088888645172119,0.8306097984313965,,,,,1.2358620166778564,1.0858978033065796,0.9986637234687805,-0.14526349732920682,1.1068078478177388,,0.6666666666666666,not_run,,,A,accepted_for_evaluation,
BraTS-MET-00559-003,BraTS-MET-00559-003,BraTS-MET-00559-003,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,95,151,103,177,74,95,87024,122,1.0,,0.0,0.0,1.0,,,,0.8043852746486664,0.7561904788017273,0.8525800704956055,,,,,1.2607771158218384,1.1704440116882324,1.0043468475341797,-0.06163445258741732,1.1451893250147502,,0.7614213197969543,not_run,,,A,accepted_for_evaluation,
BraTS-MET-00559-004,BraTS-MET-00559-004,BraTS-MET-00559-004,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,93,162,61,175,16,95,621414,937,1.0,,0.0,0.0,1.0,,,,0.7624300420284271,0.634809136390686,0.8900509476661682,,,,,1.2918471097946167,1.1030389070510864,0.9998489022254944,-0.07409528880213215,1.131578306357066,,0.5909774436090226,not_run,,,A,accepted_for_evaluation,
BraTS-MET-00560-000,BraTS-MET-00560-000,BraTS-MET-00560-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,93,172,60,168,57,88,264492,88827,1.0,,0.0,0.0,1.0,,,,0.9157921075820923,0.8736696243286133,0.9579145908355713,,,,,1.6465284824371338,0.987281084060669,0.9890359044075012,-0.018338737404930472,1.2076151569684346,,0.2043724794566239,not_run,,,A,accepted_for_training,
BraTS-MET-00561-000,BraTS-MET-00561-000,BraTS-MET-00561-000,run_3104668,g1_missing_t2w_v3,/public/home/zqchen/projects/ECNU_EYU_data/work_space/G1/code/brats2025-latent-ensemble-synthesis-main-v3/training/bbdm/bbdm_3056245/check_points/model_111105.pt,multi_modal,completion,0,,,,,,,42,True,81,202,34,139,35,84,622545,34870,1.0,,0.0,0.0,1.0,,,,0.8623035252094269,0.7821241617202759,0.9424828886985779,,,,,1.6308242082595825,1.135224461555481,1.1178343296051025,-0.00023446595477018736,1.2946276664733887,,0.2956572741269337,not_run,,,A,accepted_for_training,
